,player_id,name_common,year_id,age,team_id,G,Min,MPG,FT%
1528,bertada01,Davis Bertans,2019,26,SAS,76,1632,21.5,88.3
1529,poeltja01,Jakob Poeltl,2019,23,SAS,77,1273,16.5,53.3
1530,cunnida01,Dante Cunningham,2019,31,SAS,64,928,14.5,77.8
1531,gasolpa01,Pau Gasol,2019,38,SAS,27,330,12.2,71.1
1532,pondequ01,Quincy Pondexter,2019,30,SAS,53,292,5.5,81.0
1533,metuch01,Chimezie Metu,2019,21,SAS,29,145,5.0,76.5
1534,walkelo01,Lonnie Walker IV,2019,20,SAS,17,118,6.9,80.0
1535,eubandr01,Drew Eubanks,2019,21,SAS,23,113,4.9,84.6
1536,motiedo01,Donatas Motiejunas,2019,28,SAS,3,13,4.3,0.0
1550,siakapa01,Pascal Siakam,2019,24,TOR,80,2548,31.9,78.5
1551,greenda02,Danny Green,2019,31,TOR,80,2216,27.7,84.1
1552,lowryky01,Kyle Lowry,2019,32,TOR,65,2213,34.0,83.0
1553,leonaka01,Kawhi Leonard,2019,27,TOR,60,2040,34.0,85.4
1554,ibakase01,Serge Ibaka,2019,29,TOR,74,2010,27.2,76.3
1555,vanvlfr01,Fred VanVleet,2019,24,TOR,64,1760,27.5,84.3
1556,anunoog01,OG Anunoby,2019,21,TOR,67,1352,20.2,58.1
1557,powelno01,Norman Powell,2019,25,TOR,60,1126,18.8,82.7
1558,wrighde01,Delon Wright,2019,26,TOR,49,897,18.3,86.9
1559,gasolma01,Marc Gasol,2019,34,TOR,26,648,24.9,76.9
1560,valanjo01,Jonas Valanciunas,2019,26,TOR,30,564,18.8,81.9
1561,milescj01,CJ Miles,2019,31,TOR,40,562,14.1,79.5
1562,linje01,Jeremy Lin,2019,30,TOR,23,433,18.8,81.0
1563,monrogr01,Greg Monroe,2019,28,TOR,38,423,11.1,57.4
1564,mccawpa01,Patrick McCaw,2019,23,TOR,26,344,13.2,86.7
1565,brownlo01,Lorenzo Brown,2019,28,TOR,26,212,8.2,100.0
1566,bouchch01,Chris Boucher,2019,26,TOR,28,163,5.8,86.7
1567,meeksjo01,Jodie Meeks,2019,31,TOR,8,104,13.0,100.0
1568,richama01,Malachi Richardson,2019,23,TOR,22,103,4.7,80.0
1569,millema01,Malcolm Miller,2019,25,TOR,10,67,6.7,75.0
1570,loydjo01,Jordan Loyd,2019,25,TOR,12,55,4.6,81.8
1571,moreler01,Eric Moreland,2019,27,TOR,4,38,9.5,0.0
1586,mitchdo01,Donovan Mitchell,2019,22,UTA,77,2598,33.7,80.6
1587,goberru01,Rudy Gobert,2019,26,UTA,81,2577,31.8,63.6
1588,inglejo01,Joe Ingles,2019,31,UTA,82,2568,31.3,70.7
1589,crowdja01,Jae Crowder,2019,28,UTA,80,2166,27.1,72.1
1590,rubiori01,Ricky Rubio,2019,28,UTA,68,1899,27.9,85.5
1591,favorde01,Derrick Favors,2019,27,UTA,76,1766,23.2,67.5
1592,onealro01,Royce O'Neale,2019,25,UTA,82,1671,20.4,76.2
1593,korveky01,Kyle Korver,2019,37,UTA,54,1083,20.1,82.5
1594,exumda01,Dante Exum,2019,23,UTA,42,664,15.8,79.1
1595,sefolth01,Thabo Sefolosha,2019,34,UTA,50,609,12.2,63.6
1596,niangge01,Georges Niang,2019,25,UTA,59,516,8.7,83.3
1597,netora01,Raul Neto,2019,26,UTA,37,474,12.8,84.8
1598,allengr01,Grayson Allen,2019,23,UTA,38,416,10.9,75.0
1599,udohek01,Ekpe Udoh,2019,31,UTA,51,320,6.3,63.3
1600,burksal01,Alec Burks,2019,27,UTA,17,269,15.8,86.8
1601,mitrona01,Naz Mitrou-Long,2019,25,UTA,14,84,6.0,100.0
1602,cavanty01,Tyler Cavanaugh,2019,24,UTA,11,39,3.5,100.0
