artist,song,duration_ms,year,top half,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,explicit,explicity binary
Flo Rida,Low (feat. T-Pain),231400,2008,1,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,"hip hop, pop",False,0
Katy Perry,I Kissed A Girl,179640,2008,1,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,pop,False,0
Rihanna,Take A Bow,229413,2008,1,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.082,"hip hop, pop, R&B",False,0
Alicia Keys,No One,253813,2007,1,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,"pop, R&B",False,0
Timbaland,Apologize,184400,2007,1,0.653,0.604,8,-6.017,1,0.0278,0.0292,0.0,0.097,0.101,118.016,"hip hop, pop, R&B",False,0
Ne-Yo,Miss Independent,232000,2008,1,0.668,0.673,1,-5.714,1,0.145,0.48,0.0,0.194,0.727,171.812,"pop, R&B",False,0
Chris Brown,With You,252120,2007,1,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,"hip hop, pop, R&B",False,0
Beyoncé,If I Were a Boy,249146,2008,1,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,"pop, R&B",False,0
Kardinal Offishall,Dangerous,246053,2008,1,0.949,0.79,8,-5.957,1,0.0756,0.00437,0.0,0.0816,0.807,117.002,"hip hop, pop, R&B",True,1
Madcon,Beggin (original version),216146,2007,1,0.715,0.8,4,-5.144,0,0.057,0.0271,0.0,0.0648,0.445,129.023,"hip hop, pop",False,0
September,Cry for You,209800,2007,1,0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,"pop, Dance/Electronic",False,0
Rihanna,Disturbia,238626,2008,1,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,"hip hop, pop, R&B",False,0
Guru Josh Project,Infinity 2008,190013,2011,0,0.493,0.849,7,-6.139,0,0.0576,0.000337,0.00672,0.355,0.483,127.999,hip hop,False,0
Britney Spears,Break the Ice,196053,2007,1,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02e-06,0.107,0.85,117.533,pop,False,0
Lil Wayne,Lollipop,299333,2008,1,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,"hip hop, pop",True,1
Basshunter,Now You're Gone - Video Edit,148186,2008,1,0.639,0.976,1,-5.503,1,0.354,0.0213,0.0,0.0856,0.354,147.99,pop,False,0
Kanye West,Flashing Lights,237506,2007,0,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,hip hop,True,1
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),189693,2009,1,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,pop,False,0
Katy Perry,Hot N Cold,220226,2008,1,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,pop,False,0
Rihanna,Don't Stop The Music,267080,2008,1,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,"hip hop, pop, R&B",False,0
Snoop Dogg,Sensual Seduction,245520,2007,1,0.756,0.829,11,-3.973,1,0.0682,0.003,3.46e-05,0.0578,0.504,120.163,"hip hop, pop",False,0
Akon,Right Now (Na Na Na),240746,2008,1,0.83,0.857,8,-4.194,0,0.152,0.262,0.0,0.413,0.607,137.982,pop,False,0
Britney Spears,Womanizer,224400,2008,1,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,pop,False,0
Eric Prydz,Pjanoo - Radio Edit,157432,2008,1,0.605,0.874,7,-4.949,0,0.0295,0.000563,0.812,0.112,0.836,125.99,"pop, Dance/Electronic",False,0
Kelly Rowland,Work,207920,2010,0,0.888,0.823,10,-6.351,0,0.0538,0.00499,0.0,0.291,0.623,102.757,"hip hop, pop, R&B",False,0
Jeezy,Put On,321293,2008,1,0.654,0.77,9,-6.091,0,0.0353,0.00342,0.0,0.0887,0.272,137.616,"hip hop, pop",True,1
Madonna,Give It 2 Me,287906,2008,1,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,pop,False,0
The Pussycat Dolls,When I Grow Up,245680,2008,1,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,"pop, R&B",False,0
will.i.am,Heartbreaker,327880,2007,0,0.788,0.549,9,-8.793,0,0.0732,0.0352,0.127,0.147,0.449,120.051,"hip hop, pop",True,1
Soulja Boy,Crank That (Soulja Boy),221933,2007,1,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,"hip hop, pop",False,0
Britney Spears,Piece of Me,212106,2007,1,0.769,0.638,11,-5.054,1,0.216,0.0902,0.0,0.0857,0.782,115.007,pop,False,0
